id,key,value,type
33057049,sound,no,traffic_signals
38916848,created_by,JOSM,regular
53158435,highway,mini_roundabout,regular
53159199,ref,246B,regular
53159199,highway,motorway_junction,regular
53159789,ref,248A,regular
53159789,highway,motorway_junction,regular
53160147,highway,traffic_signals,regular
53160217,highway,traffic_signals,regular
53160223,highway,traffic_signals,regular
53161133,railway,level_crossing,regular
53161509,highway,traffic_signals,regular
53162026,highway,traffic_signals,regular
53165211,highway,traffic_signals,regular
53166496,highway,traffic_signals,regular
53166967,highway,turning_circle,regular
53167961,highway,traffic_signals,regular
53168577,highway,turning_circle,regular
53168935,highway,traffic_signals,regular
53169291,railway,level_crossing,regular
53170505,highway,traffic_signals,regular
53170818,source,Bing,regular
53170818,highway,traffic_signals,regular
53171558,highway,traffic_signals,regular
53171852,highway,traffic_signals,regular
53172586,source,Bing,regular
53172586,highway,traffic_signals,regular
53173712,ref,207,regular
53173712,highway,motorway_junction,regular
53173712,right,207,ref
53174114,highway,turning_circle,regular
53174438,highway,turning_circle,regular
53178054,highway,traffic_signals,regular
53178477,railway,level_crossing,regular
53180764,highway,traffic_signals,regular
53181532,highway,turning_circle,regular
53181678,highway,turning_circle,regular
53181804,railway,level_crossing,regular
110981489,highway,turning_circle,regular
110987725,highway,turning_circle,regular
110989608,highway,turning_circle,regular
110992934,power,pole,regular
110992951,power,pole,regular
110992967,power,pole,regular
110992984,power,pole,regular
110993001,power,pole,regular
110993017,power,pole,regular
110993032,power,pole,regular
110993050,power,pole,regular
110993094,power,pole,regular
110993117,power,pole,regular
110993135,power,pole,regular
110993150,power,pole,regular
110993166,power,pole,regular
110999533,highway,turning_circle,regular
111000913,power,tower,regular
111000929,power,tower,regular
111005762,highway,turning_circle,regular
111008619,highway,turning_circle,regular
111014674,highway,turning_circle,regular
111030529,power,pole,regular
111030545,power,pole,regular
111030562,power,pole,regular
111030578,power,pole,regular
111030591,power,pole,regular
111030606,power,pole,regular
111030620,power,pole,regular
111030635,power,pole,regular
111030651,power,pole,regular
111073528,highway,turning_circle,regular
111081559,highway,turning_circle,regular
111090895,highway,turning_circle,regular
111096071,highway,turning_circle,regular
111096088,highway,turning_circle,regular
111132781,railway,level_crossing,regular
111134504,highway,turning_circle,regular
111137275,highway,turning_circle,regular
111143307,highway,turning_circle,regular
111143992,highway,turning_circle,regular
111153238,highway,turning_circle,regular
111155043,highway,turning_circle,regular
111155694,highway,turning_circle,regular
111155936,highway,turning_circle,regular
111158879,ref,1B,regular
111158879,highway,motorway_junction,regular
111159808,ref,208,regular
111159808,highway,motorway_junction,regular
111165516,leisure,slipway,regular
111166619,highway,turning_circle,regular
111167608,ref,227,regular
111167608,highway,motorway_junction,regular
111167809,railway,level_crossing,regular
111171311,power,tower,regular
111171327,power,tower,regular
111172771,power,tower,regular
111172780,power,tower,regular
111175409,railway,level_crossing,regular
111175557,railway,level_crossing,regular
111179002,highway,turning_circle,regular
